thana_id,thana_code,thana_id_legacy,thana_name,thana_name_bn,district_id,city_corp
367,5081,508153,Mohanpur,মোহনপুর,54,
368,4001,400156,Mollahat,মোল্লাহাট,2,
369,4001,400158,Mongla,মংলা,2,
370,4001,400160,Morrelganj,মোরেলগঞ্জ,2,
371,3026,302654,Motijheel,মতিঝিল,14,S
372,3026,302657,Mugda Para,মুগদা পাড়া,14,S
373,4057,405760,Mujib Nagar,মুজিব নগর,37,
374,3035,303558,Muksudpur,মুকসুদপুর,20,
375,4561,456165,Muktagachha,মুক্তাগাছা,40,
376,1006,100669,Muladi,মুলাদি,5,
377,3059,305956,Munshiganj Sadar,মুন্সীগঞ্জ সদর,39,
378,2019,201981,Muradnagar,মুরাদনগর,12,
379,4561,456152,Mymensingh Sadar,ময়মনসিংহ সদর,40,
380,6036,603677,Nabiganj,নবীগঞ্জ,21,
381,2012,201285,Nabinagar,নবীনগর,8,
382,5070,507056,Nachole,নাচোলে,46,
383,3029,302962,Nagarkanda,নগরকান্দা,16,
384,3093,309376,Nagarpur,নাগরপুর,64,
385,5549,554961,Nageshwari,নাগেশ্বরী,30,
386,2003,200373,Naikhongchhari,নাইক্ষংছড়ি,3,
387,4589,458967,Nakla,নকলা,61,
388,1042,104273,Nalchity,নলছিটি,25,
389,5069,506955,Naldanga,নলডাঙ্গা,45,
390,4589,458970,Nalitabari,নালিতাবাড়ী,61,
391,4561,456172,Nandail,নান্দাইল,40,
392,5010,501067,Nandigram,নন্দীগ্রাম,7,
393,2019,201987,Nangalkot,নাঙ্গলকোট,12,
394,2084,208475,Naniarchar  Upazila,নানিয়ারচর উপজেলা,56,
395,5064,506460,Naogaon Sadar,নওগাঁ সদর,41,
396,4065,406576,Narail Sadar,নড়াইল সদর,42,
397,3067,306758,Narayanganj Sadar,নারায়ণগঞ্জ সদর,43,
398,3086,308665,Naria,নড়িয়া,58,
399,3068,306860,Narsingdi Sadar,নরসিংদী সদর,44,
400,2012,201290,Nasirnagar,নাসিরনগর,8,
401,5069,506963,Natore Sadar,নাটোর সদর,45,
402,3026,302662,Nawabganj,নবাবগঞ্জ,14,
403,5527,552769,Nawabganj,নবাবগঞ্জ,15,
404,1079,107976,Nazirpur Upazila,নাজিরপুর উপজেলা,53,
405,1079,107987,Nesarabad (Swarupkati),নেছারাবাদ (স্বরূপকাটি),53,
406,4572,457274,Netrokona Sadar,নেত্রকোনা সদর,47,
407,3026,302663,New Market,নতুন বাজার,14,S
408,5064,506469,Niamatpur,নিয়ামতপুর,41,
409,3048,304876,Nikli,নিকলি,29,
410,5573,557364,Nilphamari Sadar Upaz,নীলফামারী সদর উপজেলার মো,48,
411,2075,207587,Noakhali Sadar,নোয়াখালী সদর,49,
412,9993,999301,Oman,ওমান,65,
413,6091,609160,Osmaninagar,ওসমানীনগর,63,
414,5081,508172,Paba,পবা,54,
415,5076,507655,Pabna Sadar,পাবনা সদর,50,
416,2015,201555,Pahartali,পাহাড়তলী,10,
417,4047,404764,Paikgachha,পাইকগাছা,28,
418,3048,304879,Pakundia,পাকুন্দিয়া,29,
419,3068,306863,Palash,পলাশ,44,
420,5532,553267,Palashbari,পলাশবাড়ী,18,
421,3026,302664,Pallabi,পল্লবী,14,N
422,3026,302665,Paltan,পল্টন,14,S
423,5577,557773,Panchagarh Sadar,পঞ্চগড় সদর,51,
424,5038,503874,Panchbibi,পাঁচবিবি,22,
425,2046,204677,Panchhari,পানছড়ি,27,
426,2015,201557,Panchlaish,পাঁচলাইশ,10,
427,3082,308273,Pangsha,পাংশা,55,
428,5527,552777,Parbatipur,পার্বতীপুর,15,
429,2030,203051,Parshuram,পরশুরাম,17,
430,2015,201565,Patenga,পতেঙ্গা,10,
431,5552,555270,Patgram,পাটগ্রাম,33,
432,1004,100485,Patharghata,পাথরঘাটা,4,
433,2015,201561,Patiya,পটিয়া,10,
434,5064,506475,Patnitala,পত্নীতলা,41,
435,1078,107895,Patuakhali Sadar,পটুয়াখালী সদর,52,
436,2022,202256,Pekua,পেকুয়া,13,
437,5549,554918,Phulbari,ফুলবাড়ী,30,
438,4561,456181,Phulpur,ফুলপুর,40,
439,4047,404769,Phultala,ফুলতলা,28,
440,5585,558573,Pirgachha,পীরগাছা,57,
441,5585,558576,Pirganj,পীরগঞ্জ,57,
442,5594,559482,Pirganj,পীরগঞ্জ,66,
443,1079,107980,Pirojpur Sadar,পিরোজপুর সদর,53,
444,5064,506479,Porsha,পোরশা,41,
445,4572,457283,Purbadhala,পূর্বধলা,47,
446,5081,508182,Puthia,পুঠিয়া,54,
447,1042,104284,Rajapur,রাজাপুর,25,
448,5549,554977,Rajarhat,রাজারহাট,30,
449,2084,208478,Rajasthali  Upazila,রাজস্থলী উপজেলা,56,
450,3082,308276,Rajbari Sadar,রাজবাড়ী সদর,55,
451,6058,605880,Rajnagar,রাজনগর,38,
452,3054,305480,Rajoir,রাজোইর,34,
453,5081,508185,Rajpara,রাজপাড়া,54,
454,2051,205165,Ramganj,রামগঞ্জ,32,
455,2046,204680,Ramgarh,রামগড়,27,
456,2051,205173,Ramgati,রামগতি,32,
457,3026,302666,Ramna,রমনা,14,S
458,4001,400173,Rampal,রামপাল,2,
459,3026,302667,Rampura,রামপুরা,14,N
460,2022,202266,Ramu,রামু,13,
461,1078,107897,Rangabali,রাঙ্গাবালি,52,
462,2084,208487,Rangamati Sadar  Up,রাঙামাটি সদরে,56,
463,5585,558549,Rangpur Sadar,রংপুর সদর,57,
464,2015,201570,Rangunia,রাঙ্গুনিয়া,10,
465,5064,506485,Raninagar,রাণীনগর,41,
466,5594,559486,Ranisankail,রানীশংকৈল,66,
467,2015,201574,Raozan,রাউজান,10,
468,5549,554979,Raumari,রৌমারী,30,
469,9996,999601,Riyadh,রিয়াদ,69,
470,2003,200389,Rowangchhari,রোয়াংছড়ি,3,
471,5088,508861,Royganj,রায়গঞ্জ,60,
472,2051,205158,Roypur,রায়পুর,32,
473,3068,306864,Roypura,রায়পুরা,44,
474,2003,200391,Ruma,রুমা,3,
475,3067,306768,Rupganj,রূপগঞ্জ,43,
476,3026,302670,Rupnagar,রূপনগর,14,N
477,4047,404775,Rupsa,রূপসা,28,
478,3026,302668,Sabujbagh,সবুজবাগ,14,S
479,3029,302984,Sadarpur,সদরপুর,16,
480,5532,553282,Sadullapur,সাদুল্লাপুর,18,
481,5532,553288,Saghata,সাঘাটা,18,
482,5573,557385,Saidpur Upazila,সৈয়দপুর উপজেলা,48,
483,3093,309385,Sakhipur,সখীপুর,64,
484,2015,201578,Sandwip,সন্দ্বীপ,10,
485,5076,507672,Santhia,সাঁথিয়া,50,
486,5064,506486,Sapahar,সাপাহার,41,
487,2012,201294,Sarail,সরাইল,8,
