id,eiin,pbgsi_scheme,pbsci_fiscal_year,functional_smc_mmc_gb,meetings_2022,meetings_2023,annual_budget_approved,public_participation,academic_initiatives,responsibilities_completed,functional_pta,pta_meetings_2022,pta_meetings_2023,pta_public_participation,cleanliness_involvement,smag_mmag_gb_discussion,smag_mmag_gb_resolution,sexual_harassment_committee,committee_regular_work,annual_social_audit,audit_observations_displayed,eims_submission_timely,board,ssc_2021_total_students,ssc_2021_passed_students,ssc_board_2021_pass_rate,ssc_2022_total_students,ssc_2022_passed_students,ssc_board_2022_pass_rate,hsc_2021_total_students,hsc_2021_passed_students,hsc_board_2021_pass_rate,hsc_2022_total_students,hsc_2022_passed_students,hsc_board_2022_pass_rate,pass_rate,students_attendance_2022,teachers_attendance_2022,report_card_regularly_stored,report_card_displayed,report_card_not_regularly_stored,separate_washrooms,common_room,first_aid,no_adequate_facilities_washroom,clean_environment,regular_cleaning_plan,student_participation_in_cleaning,cleaning_activities,martyrs_memorial,separate_library,liberation_war_corner,playground,national_anthem_with_parade,indoor_national_anthem,national_days_celebrated,proper_flag_hoisting,cultural_competitions,bncc,scout_girls_guide_rover,sports_competitions,debate_competitions,anti_smoking_campaign,anti_terrorism_campaign,anti_child_marriage_campaign,laboratory,report_card_published_in_web,garden_scope,anti_narcotics_campaign,tree_plantation_campaign,anti_cyber_bullying,was_returned
15930,110139,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15931,116947,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15932,103795,true,2022-2023,true,8,7,true,true,true,true,false,,,false,false,false,false,true,true,,false,true,COMILLA,121,117,96.29,78,73,91.36,,,0,,,0,,78,95,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,false,false,false,false
15933,128403,false,,false,,,false,false,false,false,false,,,false,false,false,false,false,,,false,,,,,0,,,0,,,0,,,0,,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15934,103934,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15935,114565,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15936,138164,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15937,503858004,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15938,302918002,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15939,123604,false,,false,,,false,false,false,false,false,,,false,false,false,false,false,,,false,,,,,0,,,0,,,0,,,0,,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15940,104176,true,2023-2024,true,7,8,true,true,true,true,,,,,,,,true,true,,,true,CHITTAGONG,160,152,72.07,146,140,87.53,0,0,0,0,0,0,,80,95,true,,,true,false,true,,true,true,true,,true,true,,true,true,true,true,true,true,false,true,true,true,true,true,false,,,,,,,false
15941,115321,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15942,135891,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15943,554906033,false,,false,,,false,false,false,false,false,,,false,false,false,false,false,,,false,,,,,0,,,0,,,0,,,0,,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15944,302696028,false,,false,,,false,false,false,false,false,,,false,false,false,false,false,,,false,,,,,0,,,0,,,0,,,0,,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15945,121264,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15946,112149,false,,false,,,false,false,false,false,false,,,false,false,false,false,false,,,false,,,,,0,,,0,,,0,,,0,,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15947,125316,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
