id,eiin,building_no,building_name,foundation_floor_count,year_built,total_floor_count,total_room_count,vertical_expansion_possible,type,condition
198343,135343,1,1,6,2012,2,12,true,1,1
198344,135343,1,1,6,2012,2,12,true,1,1
198345,135343,1,1,6,2012,2,12,true,1,1
198346,135343,1,1,6,2012,2,12,true,1,1
198347,135343,1,1,6,2012,2,12,true,1,1
198348,135343,1,1,6,2012,2,12,true,1,1
198349,135343,1,1,6,2012,2,12,true,1,1
198350,135343,1,1,6,2012,2,12,true,1,1
198351,135343,1,1,6,2012,2,12,true,1,1
198352,135343,1,1,6,2012,2,12,true,1,1
198353,135343,1,1,6,2012,2,12,true,1,1
198354,135343,1,1,6,2012,2,12,true,1,1
198355,135343,1,1,6,2012,2,12,true,1,1
198370,302667003,1,223,5,2000,5,7,false,1,1
198371,137364,1,1,1,2005,1,2,false,1,2
198372,137364,2,2,4,2022,1,4,true,1,1
198373,137364,3,3,0,2020,0,3,false,3,1
198380,131059,1,1,0,2001,0,4,false,2,1
198388,101644,1,01,3,2000,1,5,true,1,1
198389,101644,2,02,1,1970,1,3,false,2,1
198390,101644,3,03,1,1941,1,5,false,3,2
198391,137350,1,Academic Bhabon,3,2020,1,3,true,1,1
198392,137350,2,Academic Bhabon,1,1930,1,2,false,1,3
198393,137350,3,Academic Bhabon,0,1925,0,4,false,2,2
198397,201213066,1,??????? ???????  ????? ?????????  ?????????,3,2021,3,5,false,1,1
198401,100393,1,1,0,1959,1,6,false,2,1
198402,100393,2,2,2,2006,1,3,true,1,1
198403,100393,3,3,4,2009,3,10,true,1,1
198404,100393,4,4,1,1996,1,4,false,1,1
198405,100393,5,5,4,2022,1,3,true,1,1
198406,100393,6,6,0,1968,1,3,false,2,3
198407,456194125,1,Academic,2,2015,2,5,false,1,1
198408,456181079,1,???????? ???,4,2018,2,8,true,1,1
198409,456181079,2,?????? ???,0,2010,0,10,false,3,1
198410,456181079,3,?????????,5,2024,0,10,false,1,1
198418,201322003,1,MUL VOBON,0,2022,0,3,false,2,1
198420,130043,1,1,2,1997,1,3,false,1,1
198421,130043,2,2,4,2021,4,14,false,1,1
198422,130043,3,3,2,2008,1,1,true,1,1
198428,106294,1,01,2,1963,2,13,false,1,2
198429,106294,2,02,3,1991,3,15,false,1,1
198430,106294,3,03,3,2004,3,6,false,1,1
198431,106294,4,05,4,2018,1,3,true,1,1
198432,106294,5,05,4,2018,1,4,true,1,1
198439,127290,1,1,4,2012,1,3,true,1,1
198440,127290,2,2,1,2015,1,1,false,2,1
198441,127290,3,3,1,2013,1,2,false,2,1
198442,127290,4,4,1,1995,1,3,false,2,2
198443,127290,5,5,1,1996,1,3,false,2,2
198451,124998,1,1,2,1995,2,6,false,1,2
198452,124998,2,2,4,2019,1,3,true,1,1
198453,124998,3,3,1,1984,1,10,false,2,2
198454,124998,1,1,2,1995,2,6,false,1,2
198455,124998,2,2,4,2019,1,3,true,1,1
198456,124998,3,3,1,1984,1,10,false,2,2
198457,124998,1,1,2,1995,2,6,false,1,2
198458,124998,2,2,4,2019,1,3,true,1,1
198459,124998,3,3,1,1984,1,10,false,2,2
198460,124998,1,1,2,1995,2,6,false,1,2
198461,124998,2,2,4,2019,1,3,true,1,1
198462,124998,3,3,1,1984,1,10,false,2,2
198463,124998,1,1,2,1995,2,6,false,1,2
198464,124998,2,2,4,2019,1,3,true,1,1
198465,124998,3,3,1,1984,1,10,false,2,2
198466,124998,1,1,2,1995,2,6,false,1,2
198467,124998,2,2,4,2019,1,3,true,1,1
198468,124998,3,3,1,1984,1,10,false,2,2
198469,124998,1,1,2,1995,2,6,false,1,2
198470,124998,2,2,4,2019,1,3,true,1,1
198471,124998,3,3,1,1984,1,10,false,2,2
198472,124998,1,1,2,1995,2,6,false,1,2
198473,124998,2,2,4,2019,1,3,true,1,1
198474,124998,3,3,1,1984,1,10,false,2,2
198475,124998,1,1,2,1995,2,6,false,1,2
198476,124998,2,2,4,2019,1,3,true,1,1
198477,124998,3,3,1,1984,1,10,false,2,2
198478,124998,1,1,2,1995,2,6,false,1,2
198479,124998,2,2,4,2019,1,3,true,1,1
198480,124998,3,3,1,1984,1,10,false,2,2
198481,124998,1,1,2,1995,2,6,false,1,2
198482,124998,2,2,4,2019,1,3,true,1,1
198483,124998,3,3,1,1984,1,10,false,2,2
198484,124998,1,1,2,1995,2,6,false,1,2
198485,124998,2,2,4,2019,1,3,true,1,1
198486,124998,3,3,1,1984,1,10,false,2,2
198515,134495,1,1,4,2021,1,3,true,1,1
198516,134495,2,2,3,2022,3,12,false,1,1
198522,105010,1,1,2,1995,2,9,false,1,1
198523,105010,2,2,2,1991,2,10,false,1,1
198534,457274155,1,?,1,2009,1,5,false,2,1
198535,457274155,2,?,1,2009,1,5,false,2,1
198540,118754,1,01,3,2001,2,8,false,1,1
198541,118754,2,02,1,1984,1,4,false,1,1
198542,118754,3,03,1,1975,1,3,false,2,1
198543,118754,4,04,1,1999,1,2,false,2,1
198552,111661,1,1,0,1994,0,4,false,2,1
198553,111661,2,2,0,2002,1,2,false,2,1
198554,111661,3,3,0,2015,0,12,false,1,1
198562,207507002,1,01,0,2000,0,16,false,2,1
198563,109192,1,01,2,1996,1,3,true,1,1
198564,109192,2,02,0,1993,1,11,false,2,1
198570,113040,1,1,3,2018,3,9,false,1,1
198571,113040,2,2,3,2019,3,12,false,1,1
198572,113040,3,3,4,2017,1,3,true,1,1
198573,113040,4,4,0,2016,0,3,false,2,1
198574,106970,1,1. Uttar Vaban,1,1984,1,3,false,1,1
198575,106970,2,2. Dokhin Vaban,4,2019,4,9,false,1,1
198576,106970,3,3.,0,2018,0,4,false,2,1
198577,111796,1,1,4,2023,4,12,false,1,1
198578,111796,2,2,0,2005,1,2,false,2,1
198579,130434,1,1,4,2021,3,3,true,1,1
198580,130434,2,2,4,2022,3,11,false,1,1
198584,129503,1,1,3,2018,3,9,false,1,1
198585,129503,2,2,2,2001,2,8,false,1,1
198586,129503,3,3,2,2000,2,4,false,1,1
198587,129503,4,4,0,1977,0,4,false,2,1
198588,129508,1,1,4,2012,4,11,false,1,1
198589,129508,2,2,0,2000,1,4,false,2,1
198593,105108,1,1,4,1990,1,6,true,1,1
198594,105108,2,2,4,2018,4,12,false,1,1
198595,453936178,1,1,0,2012,0,4,false,3,1
198596,453936178,2,2,0,2016,0,4,false,3,1
198597,453936178,3,3,0,2020,0,2,false,3,1
198598,453936178,4,4,0,2022,0,4,false,3,1
198605,111182,1,Mizanur Rahman Sinha,2,2005,2,6,false,1,1
198606,111182,2,1,1,1983,1,9,false,1,3
198607,111182,3,3,4,2021,4,12,false,1,1
198608,111182,4,Mizanur Rahman Sinha,2,2005,2,6,false,1,1
198609,111182,5,1,1,1983,1,9,false,1,3
198610,111182,6,3,4,2021,4,12,false,1,1
198611,111182,7,Mizanur Rahman Sinha,2,2005,2,6,false,1,1
198612,111182,8,1,1,1983,1,9,false,1,3
198613,111182,9,3,4,2021,4,12,false,1,1
198614,111182,10,Mizanur Rahman Sinha,2,2005,2,6,false,1,1
198615,111182,11,1,1,1983,1,9,false,1,3
198616,111182,12,3,4,2021,4,12,false,1,1
198617,457247034,1,1,1,2018,1,1,false,1,1
198618,457247034,2,2,1,2018,1,2,false,1,1
198619,457247034,3,3,0,2016,0,4,false,2,1
198620,457247034,4,4,0,2018,0,1,false,2,1
198621,457247034,5,5,0,2015,0,1,false,2,1
198622,133173,1,1,1,2006,1,5,false,2,1
198623,202256003,1,Akademic,1,2017,1,4,false,2,1
198624,456181119,1,01,0,2013,0,5,false,2,1
198625,456181119,2,02,0,2013,0,5,false,2,1
198626,456181119,3,03,0,2013,0,4,false,2,1
198627,456181119,4,04,0,2013,0,1,false,2,1
198631,306876108,1,01,0,2008,0,8,false,3,1
198632,306876108,2,02,2,2011,0,3,true,2,1
198635,c6cd87d5-f45c-413a-973c-8bc6e2ca0acc,1,1,0,2016,0,4,false,2,1
198636,456181064,1,01,0,2003,0,2,false,2,1
198637,456181064,2,02,0,2004,0,1,false,2,1
