id,eiin,strengthening_reading_habits_scheme_available,trained_organizer_available,books_registered,materials_received,book_shelf_available,chairs_and_tables_for_reading,book_supply_register_available,sixth_grade_members_count,seventh_grade_members_count,eighth_grade_members_count,ninth_grade_members_count,tenth_grade_members_count,honorarium_provided,visited_by_assistant_managers,member_register,book_issued,sixth_grade_books_issued_count,sixth_grade_books_received,seventh_grade_books_issued_count,seventh_grade_books_received,eighth_grade_books_issued_count,eighth_grade_books_received,ninth_grade_books_issued_count,ninth_grade_books_received,tenth_grade_books_issued_count,tenth_grade_books_received,manual_distributed,distribution_info_sent,visited,visited_by_monitoring_officer,visited_by_scheme_officer,visited_by_maushi,visited_by_others,books_received_on,sixth_grade_books_provided,seventh_grade_books_provided,eighth_grade_books_provided,ninth_grade_books_provided,tenth_grade_books_provided
1255,114431,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,139799,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,117737,true,false,false,true,true,true,true,34,45,40,19,25,false,false,true,true,12,12,14,14,10,10,15,15,14,14,true,false,false,false,false,false,false,26-12-2023,36,38,34,36,32
1258,104339,true,true,true,true,true,true,true,66,65,61,58,50,false,true,true,true,66,66,65,65,61,61,59,59,52,52,true,true,true,false,true,false,false,01-01-2023,72,72,68,68,60
1259,138327,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,306768110,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,119525,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,118281,true,false,true,true,true,false,true,16,15,12,8,8,false,true,true,true,16,16,15,15,12,12,8,5,12,5,true,false,false,false,false,false,false,11-03-2024,30,30,25,25,22
1263,110802,true,true,true,true,true,true,true,28,26,32,28,15,false,true,true,true,23,18,26,19,21,17,24,19,10,8,true,true,true,true,false,false,true,01-07-2010,28,22,24,20,18
1264,139472,true,true,true,true,true,false,true,20,20,20,20,,false,true,true,true,20,20,20,20,20,20,20,20,0,0,false,true,true,true,,,,01-05-2023,20,20,20,20,0
1265,139987,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1266,110880,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,108835,true,true,true,true,true,false,true,33,31,33,33,20,true,true,true,true,33,30,31,28,33,25,33,29,15,15,true,true,true,true,,,,02-01-2024,64,60,66,60,40
1268,115059,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1269,123578,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,108780,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
