id,eiin,new_building_space_available,new_building_space_amount,normal_class_room_count,multimedia_auditorium_room_count,multimedia_class_room_count,multimedia_interactive_class_room_count,headmaster_room_count,office_room_count,science_lab_count,boys_common_room_count,girls_common_room_count,teacher_common_room_count,hostel_count,auditorium_count,educational_materials_room_count,smart_board_tv_room_count,ict_lab_count,library_present,book_count,has_assistant_librarian,has_assistant_library_related_teacher,has_ict_lab,working_desktop_count,working_laptop_count,non_lab_desktop_count,non_lab_laptop_count,has_ict_teacher,ict_teacher_count,has_ict_capable_teacher,internet_used_for_teaching,is_exam_center,public_exam_center,is_registered_in_other_institute,total_registered_in_other_institute,has_internet,broadband,wifi,modem,mobile_hot_spot,total_building_number
39001,119613,true,30,12,1,0,0,1,2,1,0,1,1,0,1,1,1,0,true,5057,true,,false,,,2,1,false,,true,true,true,KAHALOO GOVERNMENT DEGREE COLLEGE,false,,true,false,true,,,6
39002,131650,true,70,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,0,0,false,,false,false,false,Mumenshahi DS kamil Madrasha,false,,false,,,,,3
39003,559451001,true,6,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,false,,false,false,false,,,0,0,false,,false,true,false,CHORONGI GIRLS HIGH SCHOOL,true,14,true,,true,,,1
39004,132351,true,200,8,1,1,1,1,1,0,0,0,0,1,1,1,1,0,true,2000,true,false,true,14,2,10,1,true,1,false,true,true,Bace khan jahania gonobidyalaya,false,,true,false,true,false,false,7
39005,609162107,true,100,12,2,32,1,1,2,1,0,0,1,1,1,1,1,1,false,,false,false,true,0,0,0,0,false,,false,true,false,Jameya tahakul renga madrasa,false,,true,true,true,true,true,2
39006,135976,true,25,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,true,true,false,,,1,1,false,,true,true,false,SIBGANJ BALIAKHURI MOTSO PROJUKTI INSTITUTE,false,,true,true,true,false,true,1
39007,138725,true,45,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,false,,true,,false,,,1,0,true,1,,false,false,AUSHKANDI RASIDIA PUBLIC SCHOOL AND COLLEGE,false,,true,,true,,,1
39008,c98e6ab8-9fcd-42e4-b641-e228a09dd95c,true,5,8,0,0,0,1,1,0,0,0,0,0,0,1,0,0,true,2500,false,true,false,,,0,0,false,,false,false,true,AMJADIA KERARUL KURAN KOWMI MADRASAH,false,,false,,,,,5
39009,130430,true,100,27,0,1,0,1,1,1,0,0,1,0,0,1,1,2,true,1800,false,true,true,22,12,2,1,true,2,,true,false,হাজী আব্দুস সাত্তার উচ্চ বিদ্যালয়,false,,true,true,,,,6
39010,47d44ec3-0d8f-4fd4-8e46-b2b9bba34659,false,,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,0,0,false,,false,false,false,Shigadda jonul umol Madrasah,false,,true,,,,true,1
39011,106941,false,,11,0,0,0,1,1,0,0,1,1,0,0,0,0,0,true,500,false,true,false,,,1,0,false,,true,true,false,Ayesha (Ra) Mohila Qwami Madrasha,false,,true,,true,,,2
